time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed,rolling_mean
0.032,80,117.492,-37.4918,0,-1562.16,-0.0749836,3.21498,3.06502,-37.4918
0.064,80,123.631,-43.631,0,-255.801,-0.087262,3.22726,3.05274,-40.5614
0.096,80,123.254,-43.2537,0,15.7202,-0.0865075,3.22651,3.05349,-41.4588
0.128,80,113.428,-33.4282,0,409.399,-0.0668563,3.20686,3.07314,-39.4512
0.16,80,114.232,-34.2316,0,-33.4764,-0.0684632,3.20846,3.07154,-38.4073
0.192,80,121.666,-41.6655,0,-309.748,-0.0833311,3.22333,3.05667,-38.9503
0.224,80,118.311,-38.3107,0,139.785,-0.0766214,3.21662,3.06338,-38.8589
0.256,80,99.4426,-19.4426,0,786.17,-0.0388853,3.17889,3.10111,-36.4319
0.288,80,113.871,-33.8715,0,-601.202,-0.0677429,3.20774,3.07226,-36.1474
0.32,80,122.292,-42.292,0,-350.854,-0.0845839,3.22458,3.05542,-36.7619
0.352,80,114.782,-34.7822,0,312.906,-0.0695645,3.20956,3.07044,-36.5819
0.384,80,116.734,-36.7343,0,-81.3362,-0.0734686,3.21347,3.06653,-36.5946
0.416,80,124.194,-44.194,0,-310.823,-0.0883881,3.22839,3.05161,-37.1792
0.448,80,121.876,-41.8765,0,96.5652,-0.083753,3.22375,3.05625,-37.5147
0.48,80,117.923,-37.9231,0,164.726,-0.0758461,3.21585,3.06415,-37.5419
0.512,80,109.988,-29.9882,0,330.62,-0.0599764,3.19998,3.08002,-37.0698
0.544,80,119.82,-39.8197,0,-409.648,-0.0796395,3.21964,3.06036,-37.2316
0.576,80,118.911,-38.9112,0,37.8565,-0.0778224,3.21782,3.06218,-37.3249
0.608,80,114.043,-34.0431,0,202.836,-0.0680862,3.20809,3.07191,-37.1522
0.64,80,119.366,-39.3655,0,-221.766,-0.078731,3.21873,3.06127,-37.2628
0.672,80,102.824,-22.8244,0,689.213,-0.0456488,3.18565,3.09435,-36.5753
0.704,80,114.039,-34.0391,0,-467.28,-0.0680782,3.20808,3.07192,-36.46
0.736,80,118.792,-38.7922,0,-198.047,-0.0775845,3.21758,3.06242,-36.5614
0.768,80,110.128,-30.1283,0,360.999,-0.0602565,3.20026,3.07974,-36.2934
0.8,80,111.048,-31.0483,0,-38.3327,-0.0620965,3.2021,3.0779,-36.0835
0.832,80,117.856,-37.8561,0,-283.66,-0.0757122,3.21571,3.06429,-36.1517
0.864,80,116.178,-36.1783,0,69.9077,-0.0723566,3.21236,3.06764,-36.1527
0.896,80,109.654,-29.6544,0,271.831,-0.0593087,3.19931,3.08069,-35.9206
0.928,80,116.322,-36.3222,0,-277.825,-0.0726443,3.21264,3.06736,-35.9345
0.96,80,123.39,-43.3901,0,-294.5,-0.0867803,3.22678,3.05322,-36.183
0.992,80,111.413,-31.4127,0,499.061,-0.0628253,3.20283,3.07717,-36.0291
1.024,80,104.162,-24.1618,0,302.121,-0.0483235,3.18832,3.09168,-35.6583
1.056,80,116.426,-36.4263,0,-511.021,-0.0728526,3.21285,3.06715,-35.6815
1.088,80,109.416,-29.4164,0,292.081,-0.0588327,3.19883,3.08117,-35.4973
1.12,80,107.97,-27.9696,0,60.281,-0.0559392,3.19594,3.08406,-35.2822
1.152,80,99.9959,-19.9959,0,332.237,-0.0399918,3.17999,3.10001,-34.8576
1.184,80,104.914,-24.9144,0,-204.938,-0.0498288,3.18983,3.09017,-34.5888
1.216,80,105.612,-25.6121,0,-29.0708,-0.0512242,3.19122,3.08878,-34.3526
1.248,80,121.066,-41.0657,0,-643.898,-0.0821313,3.22213,3.05787,-34.5247
1.28,80,106.565,-26.5648,0,604.203,-0.0531296,3.19313,3.08687,-34.3257
1.312,80,121.134,-41.1343,0,-607.063,-0.0822687,3.22227,3.05773,-34.4918
1.344,80,106.772,-26.7716,0,598.447,-0.0535432,3.19354,3.08646,-34.308
1.376,80,112.157,-32.1569,0,-224.388,-0.0643138,3.20431,3.07569,-34.258
1.408,80,111.826,-31.8263,0,13.7743,-0.0636527,3.20365,3.07635,-34.2027
1.44,80,95.9236,-15.9236,0,662.613,-0.0318472,3.17185,3.10815,-33.7965
1.472,80,107.313,-27.3134,0,-474.574,-0.0546268,3.19463,3.08537,-33.6556
1.504,80,107.265,-27.2653,0,2.00509,-0.0545305,3.19453,3.08547,-33.5196
1.536,80,103.975,-23.9748,0,137.102,-0.0479496,3.18795,3.09205,-33.3207
1.568,80,108.891,-28.8914,0,-204.856,-0.0577827,3.19778,3.08222,-33.2303
1.6,80,103.561,-23.5613,0,222.087,-0.0471225,3.18712,3.09288,-33.037
1.632,80,108.628,-28.6284,0,-211.129,-0.0572567,3.19726,3.08274,-32.9505
1.664,80,110.909,-30.9088,0,-95.0183,-0.0618176,3.20182,3.07818,-32.9113
1.696,80,109.426,-29.4257,0,61.798,-0.0588513,3.19885,3.08115,-32.8455
1.728,80,106.227,-26.2267,0,133.291,-0.0524533,3.19245,3.08755,-32.7229
1.76,80,100.785,-20.7853,0,226.726,-0.0415705,3.18157,3.09843,-32.5059
1.792,80,104.369,-24.3694,0,-149.339,-0.0487388,3.18874,3.09126,-32.3606
1.824,80,103.073,-23.0735,0,53.9961,-0.046147,3.18615,3.09385,-32.1976
