time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed,rolling_mean
0.032,80,117.492,-37.4918,0,-1562.16,-15.2123,6,-6.28,-37.4918
0.064,80,123.631,-43.6306,0,-255.782,-2.94071,6,0.199293,-40.5612
0.096,80,122.156,-42.1559,0,61.444,0.074775,3.06523,3.21477,-41.0927
0.128,80,112.449,-32.4489,0,404.459,3.43275,-0.292748,6.28,-38.9318
0.16,80,113.874,-33.8744,0,-59.3978,-0.967802,4.1078,2.1722,-37.9203
0.192,80,121.11,-41.1103,0,-301.493,-3.34243,6,-0.202434,-38.452
0.224,80,117.244,-37.2438,0,161.102,1.07548,2.06452,4.21548,-38.2794
0.256,80,98.8837,-18.8837,0,765.006,7.0027,-3.8627,6.28,-35.8549
0.288,80,112.766,-32.7659,0,-578.427,-5.85932,6,-2.71932,-35.5117
0.32,80,121.319,-41.3188,0,-356.369,-3.86351,6,-0.723509,-36.0924
0.352,80,112.875,-32.8747,0,351.837,2.93036,0.209639,6.07036,-35.7999
0.384,80,115.192,-35.1922,0,-96.5635,-1.33483,4.47483,1.80517,-35.7493
0.416,80,122.33,-42.3303,0,-297.421,-3.31859,6,-0.178591,-36.2555
0.448,80,120.455,-40.4554,0,78.1238,0.252805,2.88719,3.39281,-36.5555
0.48,80,116.551,-36.5508,0,162.69,1.09881,2.04119,4.23881,-36.5552
0.512,80,108.987,-28.987,0,315.16,2.63042,0.509578,5.77042,-36.0822
0.544,80,118.525,-38.5247,0,-397.407,-4.2178,6,-1.0778,-36.2258
0.576,80,117.906,-37.9059,0,25.7838,-0.211214,3.35121,2.92879,-36.3192
0.608,80,113.335,-33.3352,0,190.445,1.39968,1.74032,4.53968,-36.1621
0.64,80,118.556,-38.5564,0,-217.548,-2.51851,5.65851,0.621495,-36.2818
0.672,80,102.622,-22.6217,0,663.947,6.00284,-2.86284,6.28,-35.6314
0.704,80,113.582,-33.5819,0,-456.675,-4.71856,6,-1.57856,-35.5382
0.736,80,119.319,-39.3186,0,-239.029,-2.73065,5.87065,0.409349,-35.7026
0.768,80,110.147,-30.1471,0,382.147,3.24952,-0.109524,6.28,-35.4711
0.8,80,111.257,-31.2571,0,-46.2506,-0.812153,3.95215,2.32785,-35.3025
