time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed,rolling_mean
0.032,80,117.492,-37.4918,-0.899803,-1562.16,-11.4001,6,-6.28,-37.4918
0.064,80,123.631,-43.6306,-1.94694,-255.782,-2.20918,5.34918,0.93082,-40.5612
0.096,80,122.454,-42.4539,-2.96583,49.0268,-0.043458,3.18346,3.09654,-41.1921
0.128,80,112.588,-32.5876,-3.74793,411.097,2.60656,0.533439,5.74656,-39.041
0.16,80,113.943,-33.9431,-4.56257,-56.4808,-0.718421,3.85842,2.42158,-38.0214
0.192,80,121.172,-41.1719,-5.55069,-301.201,-2.51893,5.65893,0.621074,-38.5465
0.224,80,117.472,-37.4716,-6.45001,154.179,0.735898,2.4041,3.8759,-38.3929
0.256,80,98.9658,-18.9658,-6.90519,771.076,5.26878,-2.12878,6.28,-35.9645
0.288,80,112.991,-32.9911,-7.69698,-584.386,-4.45639,6,-1.31639,-35.6342
0.32,80,121.373,-41.3725,-8.68992,-349.227,-2.86973,6,0.27027,-36.208
0.352,80,112.998,-32.9983,-9.48188,348.926,2.1463,0.993704,5.2863,-35.9162
0.384,80,115.177,-35.1774,-10.3261,-90.7966,-0.988969,4.12897,2.15103,-35.8546
0.416,80,121.565,-41.5651,-11.3237,-266.156,-2.29086,5.43086,0.849141,-36.2939
0.448,80,119.501,-39.5012,-12.2717,85.9968,0.218249,2.92175,3.35825,-36.523
0.48,80,115.552,-35.5522,-13.125,164.541,0.807441,2.33256,3.94744,-36.4583
0.512,80,108.104,-28.1036,-13.7995,310.36,1.90495,1.23505,5.04495,-35.9361
0.544,80,117.433,-37.433,-14.6979,-388.724,-3.1311,6,0.00890132,-36.0242
0.576,80,116.6,-36.5996,-15.5763,34.7236,-0.128101,3.2681,3.0119,-36.0561
0.608,80,112.011,-32.0108,-16.3445,191.201,1.01886,2.12114,4.15886,-35.8432
0.64,80,116.992,-36.9918,-17.2323,-207.544,-1.85162,4.99162,1.28838,-35.9007
0.672,80,101.125,-21.125,-17.7393,661.117,4.43985,-1.29985,6.28,-35.1971
0.704,80,112.163,-32.1635,-18.5112,-459.935,-3.59875,6,-0.458751,-35.0592
0.736,80,116.115,-36.115,-19.378,-164.649,-1.54617,4.68617,1.59383,-35.1051
0.768,80,107.545,-27.5452,-20.0391,357.076,2.22288,0.917123,5.36288,-34.7901
0.8,80,108.638,-28.6375,-20.7264,-45.5134,-0.63925,3.77925,2.50075,-34.544
0.832,80,114.873,-34.8734,-21.5633,-259.828,-2.21512,5.35512,0.924883,-34.5566
0.864,80,112.336,-32.3357,-22.3394,105.738,0.39371,2.74629,3.53371,-34.4744
0.896,80,106.316,-26.3156,-22.971,250.838,1.47339,1.66661,4.61339,-34.183
0.928,80,112.566,-32.5664,-23.7526,-260.449,-2.20501,5.34501,0.934994,-34.1273
0.96,80,117.493,-37.4928,-24.6524,-205.268,-1.86124,5.00124,1.27876,-34.2394
0.992,80,105.857,-25.8572,-25.273,484.815,3.1275,0.0125029,6.2675,-33.969
1.024,80,100.554,-20.5536,-25.7663,220.986,1.30591,1.83409,4.44591,-33.5498
1.056,80,111.509,-31.5094,-26.5225,-456.495,-3.59142,6,-0.451423,-33.488
1.088,80,104.349,-24.3485,-27.1068,298.372,1.81581,1.32419,4.95581,-33.2192
1.12,80,103.19,-23.1905,-27.6634,48.2522,0.0537941,3.08621,3.19379,-32.9326
1.152,80,96.4331,-16.4331,-28.0578,281.555,1.76526,1.37474,4.90526,-32.4743
1.184,80,100.842,-20.8415,-28.558,-183.682,-1.56972,4.70972,1.57028,-32.1599
1.216,80,101.585,-21.5849,-29.076,-30.9733,-0.496712,3.63671,2.64329,-31.8816
1.248,80,113.403,-33.4028,-29.8777,-492.413,-3.87236,6,-0.73236,-31.9206
1.28,80,98.1031,-18.1031,-30.3122,637.488,4.26379,-1.12379,6.28,-31.5752
1.312,80,113.266,-33.2658,-31.1106,-631.778,-4.86136,6,-1.72136,-31.6164
1.344,80,96.0892,-16.0892,-31.4967,715.691,4.83221,-1.69221,6.28,-31.2467
1.376,80,106.484,-26.4839,-32.1323,-433.114,-3.3967,6,-0.256702,-31.136
1.408,80,100.208,-20.2083,-32.6173,261.483,1.57614,1.56386,4.71614,-30.8876
1.44,80,86.6474,-6.64744,-32.7769,565.037,3.84689,-0.706894,6.28,-30.3489
1.472,80,99.9795,-19.9795,-33.2564,-555.503,-4.20789,6,-1.06789,-30.1235
1.504,80,95.0386,-15.0386,-33.6173,205.87,1.22606,1.91394,4.36606,-29.8026
1.536,80,92.5148,-12.5148,-33.9177,105.159,0.534889,2.60511,3.67489,-29.4424
1.568,80,96.9528,-16.9528,-34.3245,-184.917,-1.55996,4.69996,1.58004,-29.1875
1.6,80,90.7809,-10.7809,-34.5833,257.163,1.62477,1.51523,4.76477,-28.8194
1.632,80,95.2736,-15.2736,-34.9498,-187.194,-1.56275,4.70275,1.57725,-28.5538
1.664,80,96.7984,-16.7984,-35.353,-63.5336,-0.702113,3.84211,2.43789,-28.3277
1.696,80,94.2674,-14.2674,-35.6954,105.459,0.516157,2.62384,3.65616,-28.0624
1.728,80,90.8491,-10.8491,-35.9558,142.43,0.80793,2.33207,3.94793,-27.7437
1.76,80,85.4172,-5.41717,-36.0858,226.329,1.45045,1.68955,4.59045,-27.3377
1.792,80,89.5925,-9.59246,-36.316,-173.97,-1.42191,4.56191,1.71809,-27.0208
1.824,80,86.6621,-6.66208,-36.4759,122.099,0.700183,2.43982,3.84018,-26.6637
1.856,80,85.7845,-5.78452,-36.6147,36.5652,0.102103,3.0379,3.2421,-26.3037
1.888,80,90.7928,-10.7928,-36.8738,-208.681,-1.68005,4.82005,1.45995,-26.0408
1.92,80,81.804,-1.80404,-36.9171,374.534,2.52988,0.61012,5.66988,-25.6368
1.952,80,84.7166,-4.71658,-37.0303,-121.356,-1.00756,4.14756,2.13244,-25.2939
1.984,80,87.7658,-7.76575,-37.2166,-127.049,-1.07584,4.21584,2.06416,-25.0112
2.016,80,74.9564,5.04365,-37.0956,533.725,3.71807,-0.578073,6.28,-24.5341
2.048,80,80.0621,-0.0620752,-37.0971,-212.739,-1.61285,4.75285,1.52715,-24.1517
2.08,80,81.168,-1.16804,-37.1251,-46.0818,-0.442949,3.58295,2.69705,-23.7981
2.112,80,81.3156,-1.31564,-37.1567,-6.14992,-0.16165,3.30165,2.97835,-23.4575
2.144,80,74.7848,5.21517,-37.0315,272.117,1.86761,1.27239,5.00761,-23.0296
2.176,80,75.3385,4.6615,-36.9196,-23.0694,-0.226968,3.36697,2.91303,-22.6223
2.208,80,78.8754,1.12462,-36.8927,-147.37,-1.13877,4.27877,2.00123,-22.2782
2.24,80,74.8291,5.17088,-36.7686,168.594,1.13503,2.00497,4.27503,-21.886
2.272,80,79.7698,0.230213,-36.763,-205.861,-1.56057,4.70057,1.57943,-21.5745
2.304,80,78.3494,1.65062,-36.7234,59.1837,0.328847,2.81115,3.46885,-21.252
2.336,80,74.5473,5.45269,-36.5925,158.42,1.06603,2.07397,4.20603,-20.8862
2.368,80,73.0378,6.96221,-36.4255,62.8964,0.40379,2.73621,3.54379,-20.5098
2.4,80,73.6446,6.35544,-36.2729,-25.282,-0.225538,3.36554,2.91446,-20.1516
2.432,80,74.3348,5.66519,-36.137,-28.7604,-0.255989,3.39599,2.88401,-19.8119
2.464,80,72.4003,7.59968,-35.9546,80.6036,0.53624,2.60376,3.67624,-19.4559
2.496,80,68.5869,11.4131,-35.6807,158.893,1.12563,2.01437,4.26563,-19.0602
2.528,80,75.3944,4.60564,-35.5701,-283.644,-2.06848,5.20848,1.07152,-18.7606
2.56,80,74.8725,5.12745,-35.4471,21.7421,0.0987027,3.0413,3.2387,-18.462
2.592,80,64.785,15.215,-35.0819,420.313,3.01241,0.127587,6.15241,-18.0462
2.624,80,69.9979,10.0021,-34.8419,-217.204,-1.54743,4.68743,1.59257,-17.7042
2.656,80,71.196,8.80395,-34.6306,-49.9212,-0.37325,3.51325,2.76675,-17.3848
2.688,80,75.4908,4.50919,-34.5223,-178.949,-1.32511,4.46511,1.81489,-17.1242
2.72,80,67.2725,12.7275,-34.2169,342.43,2.44109,0.698908,5.58109,-16.773
2.752,80,69.209,10.791,-33.9579,-80.6878,-0.57127,3.71127,2.56873,-16.4525
2.784,80,70.18,9.81999,-33.7222,-40.4587,-0.294514,3.43451,2.84549,-16.1505
2.816,80,67.2289,12.7711,-33.4157,122.961,0.889937,2.25006,4.02994,-15.8218
2.848,80,62.4223,17.5777,-32.9938,200.276,1.48179,1.65821,4.62179,-15.4466
2.88,80,72.0519,7.94812,-32.8031,-401.232,-2.86301,6,0.276995,-15.1866
2.912,80,67.2144,12.7856,-32.4962,201.564,1.4492,1.6908,4.5892,-14.8792
2.944,80,64.8697,15.1303,-32.1331,97.6924,0.735934,2.40407,3.87593,-14.553
2.976,80,70.8374,9.16258,-31.9132,-248.654,-1.76928,4.90928,1.37072,-14.298
3.008,80,68.1183,11.8817,-31.628,113.298,0.818626,2.32137,3.95863,-14.0195
3.04,80,60.774,19.226,-31.1666,306.011,2.25046,0.889541,5.39046,-13.6696
3.072,80,74.4187,5.58126,-31.0327,-568.531,-4.06372,6,-0.923719,-13.469
3.104,80,74.1468,5.85316,-30.8922,11.3292,0.0445375,3.09546,3.18454,-13.2698
3.136,80,64.5868,15.4132,-30.5223,398.333,2.87162,0.268377,6.01162,-12.9772
3.168,80,70.5624,9.43757,-30.2958,-248.983,-1.76451,4.90451,1.37549,-12.7507
3.2,80,69.3708,10.6292,-30.0407,49.651,0.361276,2.77872,3.50128,-12.5169
3.232,80,63.7805,16.2195,-29.6514,232.927,1.7103,1.4297,4.8503,-12.2324
3.264,80,63.1538,16.8462,-29.2471,26.1131,0.25285,2.88715,3.39285,-11.9473
3.296,80,74.9093,5.09066,-29.1249,-489.813,-3.50535,6,-0.365355,-11.7819
3.328,80,63.9106,16.0894,-28.7388,458.279,3.30723,-0.167226,6.28,-11.5139
3.36,80,69.6445,10.3555,-28.4902,-238.912,-1.67978,4.81978,1.46022,-11.3057
3.392,80,66.0952,13.9048,-28.1565,147.89,1.09168,2.04832,4.23168,-11.0678
