time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed,rolling_mean
0.032,80,117.492,-37.4918,-0.899803,-312.432,-2.55202,5.69202,0.587985,-37.4918
0.064,80,123.631,-43.631,-1.94695,-301.106,-2.53007,5.67007,0.609926,-40.5614
0.096,80,122.361,-42.3613,-2.96362,-230.303,-2.02028,5.16028,1.11972,-41.1614
0.128,80,112.025,-32.0249,-3.73221,-98.1057,-0.993486,4.13349,2.14651,-38.8772
0.16,80,112.285,-32.2854,-4.50706,-80.6556,-0.874501,4.0145,2.2655,-37.5589
0.192,80,116.94,-36.9399,-5.39362,-103.312,-1.07934,4.21934,2.06066,-37.4557
0.224,80,113.459,-33.459,-6.19664,-53.6419,-0.698637,3.83864,2.44136,-36.8847
0.256,80,96.1235,-16.1235,-6.5836,101.548,0.555022,2.58498,3.69502,-34.2896
0.288,80,107.765,-27.7655,-7.24997,-15.7773,-0.382328,3.52233,2.75767,-33.5647
0.32,80,113.83,-33.8303,-8.0619,-63.1624,-0.77472,3.91472,2.36528,-33.5913
0.352,80,106.726,-26.7259,-8.70332,8.67352,-0.204016,3.34402,2.93598,-32.9671
0.384,80,106.96,-26.9604,-9.35037,4.98488,-0.234093,3.37409,2.90591,-32.4666
0.416,80,111.479,-31.4789,-10.1059,-33.666,-0.550568,3.69057,2.58943,-32.3906
0.448,80,108.341,-28.3411,-10.7861,-0.78506,-0.291476,3.43148,2.84852,-32.1013
0.48,80,103.241,-23.2408,-11.3438,41.8744,0.05486,3.08514,3.19486,-31.5106
0.512,80,95.2765,-15.2765,-11.7105,99.8689,0.536091,2.60391,3.67609,-30.496
0.544,80,101.311,-21.3111,-12.2219,29.6067,-0.0171391,3.15714,3.12286,-29.9557
0.576,80,98.0049,-18.0049,-12.6541,51.2372,0.164525,2.97547,3.30453,-29.2918
0.608,80,92.2355,-12.2355,-12.9477,89.0679,0.483451,2.65655,3.62345,-28.3941
0.64,80,94.8744,-14.8744,-13.3047,49.2636,0.176865,2.96313,3.31687,-27.7181
0.672,80,80.6883,-0.688337,-13.3212,157.628,1.07171,2.06829,4.21171,-26.431
0.704,80,89.1868,-9.18677,-13.5417,55.2822,0.269988,2.87001,3.40999,-25.6471
0.736,80,91.8354,-11.8354,-13.8257,22.1537,0.0107875,3.12921,3.15079,-25.0466
0.768,80,83.1108,-3.11077,-13.9004,90.4283,0.57248,2.56752,3.71248,-24.1326
0.8,80,82.948,-2.948,-13.9712,73.6991,0.4553,2.6847,3.5953,-23.2853
0.832,80,87.4179,-7.41794,-14.1492,21.7098,0.0464773,3.09352,3.18648,-22.675
0.864,80,84.7865,-4.78647,-14.2641,39.2968,0.194348,2.94565,3.33435,-22.0124
0.896,80,78.9114,1.08864,-14.2379,80.3966,0.538285,2.60171,3.67829,-21.1874
0.928,80,83.6114,-3.61136,-14.3246,25.1506,0.104596,3.0354,3.2446,-20.5813
0.96,80,88.6771,-8.67706,-14.5329,-22.0936,-0.27608,3.41608,2.86392,-20.1845
0.992,80,76.9612,3.03877,-14.4599,79.957,0.552089,2.58791,3.69209,-19.4354
1.024,80,70.6078,9.39217,-14.2345,116.911,0.871546,2.26845,4.01155,-18.5345
1.056,80,80.6788,-0.678774,-14.2508,9.60394,0.0211296,3.11887,3.16113,-17.9934
1.088,80,74.8534,5.14656,-14.1273,56.2276,0.404007,2.73599,3.54401,-17.3128
1.12,80,73.2503,6.74969,-13.9653,58.3415,0.433864,2.70614,3.57386,-16.6253
1.152,80,65.29,14.71,-13.6122,113.009,0.893565,2.24643,4.03357,-15.7549
1.184,80,69.5625,10.4375,-13.3617,54.8031,0.443729,2.69627,3.58373,-15.047
1.216,80,70.0673,9.93272,-13.1234,39.636,0.332484,2.80752,3.47248,-14.3897
1.248,80,82.2934,-2.29342,-13.1784,-70.1757,-0.555175,3.69517,2.58483,-14.0795
1.28,80,72.9287,7.07126,-13.0087,21.8984,0.181477,2.95852,3.32148,-13.5507
1.312,80,83.5678,-3.56781,-13.0943,-71.1402,-0.573232,3.71323,2.56677,-13.3072
1.344,80,69.7851,10.2149,-12.8492,57.9434,0.465424,2.67458,3.60542,-12.7472
1.376,80,73.7417,6.25826,-12.699,13.3831,0.114757,3.02524,3.25476,-12.3052
