time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed
0.032,100,177.168,-77.1678,-1.23469,-4822.99,-1.9292,5.0692,1.2108
0.064,100,184.731,-84.7306,-2.59037,-472.67,-2.11826,5.25826,1.02174
0.096,100,181.891,-81.8913,-3.90064,177.454,-2.04728,5.18728,1.09272
0.128,100,168.414,-68.414,-4.99526,842.33,-1.71035,4.85035,1.42965
0.16,100,163.895,-63.8955,-6.01759,282.41,-1.59739,4.73739,1.54261
0.192,100,163.672,-63.6721,-7.03634,13.9623,-1.5918,4.7318,1.5482
0.224,100,155.503,-55.5029,-7.92439,510.572,-1.38757,4.52757,1.75243
0.256,100,131.268,-31.2677,-8.42467,1514.7,-0.781692,3.92169,2.35831
0.288,100,141.35,-41.3501,-9.08627,-630.151,-1.03375,4.17375,2.10625
0.32,100,143.879,-43.8789,-9.78833,-158.052,-1.09697,4.23697,2.04303
0.352,100,129.273,-29.2728,-10.2567,912.881,-0.73182,3.87182,2.40818
0.384,100,125.918,-25.9175,-10.6714,209.706,-0.647938,3.78794,2.49206
0.416,100,128.369,-28.3688,-11.1253,-153.205,-0.70922,3.84922,2.43078
0.448,100,123.03,-23.0298,-11.4938,333.686,-0.575745,3.71575,2.56425
0.48,100,116.644,-16.6439,-11.7601,399.116,-0.416099,3.5561,2.7239
0.512,100,107.098,-7.09779,-11.8736,596.634,-0.177445,3.31744,2.96256
0.544,100,113.756,-13.7557,-12.0937,-416.116,-0.343891,3.48389,2.79611
0.576,100,110.422,-10.4218,-12.2605,208.365,-0.260545,3.40055,2.87945
0.608,100,104.576,-4.57584,-12.3337,365.374,-0.114396,3.2544,3.0256
0.64,100,106.47,-6.47006,-12.4372,-118.389,-0.161751,3.30175,2.97825
0.672,100,89.0592,10.9408,-12.2621,1088.18,0.273521,2.86648,3.41352
0.704,100,94.0852,5.91477,-12.1675,-314.128,0.147869,2.99213,3.28787
0.736,100,94.6752,5.32482,-12.0823,-36.8718,0.133121,3.00688,3.27312
0.768,100,84.7318,15.2682,-11.838,621.461,0.381705,2.75829,3.52171
0.8,100,82.6241,17.3759,-11.56,131.728,0.434396,2.7056,3.5744
0.832,100,84.7207,15.2793,-11.3155,-131.037,0.381981,2.75802,3.52198
0.864,100,80.4961,19.5039,-11.0035,264.037,0.487596,2.6524,3.6276
0.896,100,73.2984,26.7016,-10.5763,449.861,0.667541,2.47246,3.80754
0.928,100,78.5549,21.4451,-10.2331,-328.533,0.536128,2.60387,3.67613
0.96,100,82.5349,17.4651,-9.95369,-248.752,0.436627,2.70337,3.57663
0.992,100,74.0779,25.9221,-9.53893,528.566,0.648053,2.49195,3.78805
1.024,100,67.1437,32.8563,-9.01323,433.389,0.821409,2.31859,3.96141
1.056,100,74.3893,25.6107,-8.60346,-452.854,0.640267,2.49973,3.78027
1.088,100,67.6647,32.3353,-8.0861,420.288,0.808382,2.33162,3.94838
1.12,100,65.6335,34.3665,-7.53623,126.951,0.859162,2.28084,3.99916
1.152,100,57.8097,42.1903,-6.86119,488.99,1.05476,2.08524,4.19476
1.184,100,62.0825,37.9175,-6.25451,-267.053,0.947937,2.19206,4.08794
1.216,100,62.8384,37.1616,-5.65992,-47.2451,0.929039,2.21096,4.06904
1.248,100,75.5888,24.4112,-5.26934,-796.899,0.610279,2.52972,3.75028
1.28,100,62.9948,37.0052,-4.67726,787.129,0.925131,2.21487,4.06513
1.312,100,76.0394,23.9606,-4.29389,-815.289,0.599015,2.54098,3.73902
1.344,100,64.4829,35.5171,-3.72562,722.28,0.887927,2.25207,4.02793
1.376,100,69.7358,30.2642,-3.24139,-328.308,0.756604,2.3834,3.8966
1.408,100,69.9405,30.0595,-2.76044,-12.7911,0.751488,2.38851,3.89149
1.44,100,56.0895,43.9105,-2.05787,865.687,1.09776,2.04224,4.23776
1.472,100,66.7078,33.2922,-1.5252,-663.645,0.832304,2.3077,3.9723
1.504,100,66.5906,33.4094,-0.990646,7.32425,0.835234,2.30477,3.97523
1.536,100,63.9,36.1,-0.413046,168.165,0.9025,2.2375,4.0425
1.568,100,68.8101,31.1899,0.0859922,-306.884,0.779747,2.36025,3.91975
1.6,100,64.0327,35.9673,0.661469,298.589,0.899182,2.24082,4.03918
1.632,100,69.0404,30.9596,1.15682,-312.983,0.773989,2.36601,3.91399
1.664,100,71.641,28.359,1.61057,-162.532,0.708976,2.43102,3.84898
1.696,100,70.6565,29.3435,2.08006,61.5306,0.733588,2.40641,3.87359
1.728,100,68.1183,31.8817,2.59017,158.638,0.797043,2.34296,3.93704
1.76,100,63.2238,36.7762,3.17859,305.904,0.919405,2.2206,4.0594
1.792,100,67.113,32.887,3.70478,-243.072,0.822176,2.31782,3.96218
1.824,100,66.3238,33.6762,4.2436,49.324,0.841906,2.29809,3.98191
1.856,100,66.3178,33.6822,4.78252,0.373427,0.842055,2.29795,3.98205
1.888,100,72.4187,27.5813,5.22382,-381.308,0.689532,2.45047,3.82953
1.92,100,65.9877,34.0123,5.76801,401.941,0.850308,2.28969,3.99031
1.952,100,67.7732,32.2268,6.28364,-111.593,0.805671,2.33433,3.94567
1.984,100,72.2705,27.7295,6.72731,-281.085,0.693237,2.44676,3.83324
2.016,100,63.1935,36.8065,7.31622,567.312,0.920161,2.21984,4.06016
2.048,100,66.6109,33.3891,7.85044,-213.584,0.834728,2.30527,3.97473
2.08,100,70.1091,29.8909,8.3287,-218.641,0.747271,2.39273,3.88727
2.112,100,72.0748,27.9252,8.7755,-122.854,0.69813,2.44187,3.83813
2.144,100,67.5782,32.4218,9.29425,281.036,0.810544,2.32946,3.95054
2.176,100,69.1085,30.8915,9.78851,-95.64,0.772288,2.36771,3.91229
2.208,100,73.9745,26.0255,10.2049,-304.127,0.650637,2.48936,3.79064
2.24,100,73.335,26.665,10.6316,39.9688,0.666625,2.47338,3.80662
2.272,100,80.3884,19.6116,10.9453,-440.836,0.49029,2.64971,3.63029
2.304,100,82.7354,17.2646,11.2216,-146.689,0.431615,2.70839,3.57161
2.336,100,83.553,16.447,11.4847,-51.097,0.411176,2.72882,3.55118
2.368,100,85.0119,14.9881,11.7245,-91.1825,0.374703,2.7653,3.5147
2.4,100,89.0823,10.9177,11.8992,-254.401,0.272943,2.86706,3.41294
2.432,100,94.4342,5.56575,11.9883,-334.497,0.139144,3.00086,3.27914
2.464,100,95.7497,4.25028,12.0563,-82.2167,0.106257,3.03374,3.24626
2.496,100,96.3224,3.67761,12.1151,-35.7923,0.0919402,3.04806,3.23194
2.528,100,107.743,-7.74279,11.9912,-713.775,-0.19357,3.33357,2.94643
2.56,100,111.74,-11.7395,11.8034,-249.794,-0.293488,3.43349,2.84651
2.592,100,104.519,-4.51909,11.7311,451.276,-0.112977,3.25298,3.02702
2.624,100,111.188,-11.1876,11.5521,-416.781,-0.27969,3.41969,2.86031
2.656,100,116.995,-16.9946,11.2802,-362.936,-0.424864,3.56486,2.71514
2.688,100,125.998,-25.9983,10.8642,-562.737,-0.649959,3.78996,2.49004
2.72,100,119.094,-19.0939,10.5587,431.529,-0.477347,3.61735,2.66265
2.752,100,126.539,-26.5395,10.1341,-465.348,-0.663486,3.80349,2.47651
2.784,100,133.642,-33.6423,9.5958,-443.93,-0.841058,3.98106,2.29894
2.816,100,135.563,-35.5625,9.0268,-120.012,-0.889063,4.02906,2.25094
2.848,100,134.563,-34.5635,8.47379,62.4413,-0.864087,4.00409,2.27591
2.88,100,154.393,-54.3928,7.6035,-1239.34,-1.35982,4.49982,1.78018
2.912,100,153.659,-53.6592,6.74495,45.8515,-1.34148,4.48148,1.79852
2.944,100,156.615,-56.6152,5.83911,-184.749,-1.41538,4.55538,1.72462
2.976,100,175.198,-75.1981,4.63594,-1161.43,-1.87995,5.01995,1.26005
3.008,100,181.552,-81.5517,3.33112,-397.101,-2.03879,5.17879,1.10121
3.04,100,177.725,-77.725,2.08752,239.17,-1.94312,5.08312,1.19688
3.072,100,203.327,-103.327,0.434285,-1600.12,-2.58317,5.72317,0.556827
3.104,100,202.975,-102.975,-1.21331,22.0067,-2.57437,5.71437,0.56563
3.136,100,188.207,-88.2073,-2.62463,922.97,-2.20518,5.34518,0.934818
3.168,100,197.817,-97.8168,-4.1897,-600.598,-2.44542,5.58542,0.694579
3.2,100,196.177,-96.1767,-5.72852,102.51,-2.40442,5.54442,0.735583
3.232,100,188.326,-88.3257,-7.14174,490.685,-2.20814,5.34814,0.931857
3.264,100,190.795,-90.7949,-8.59445,-154.326,-2.26987,5.40987,0.870127
3.296,100,210.408,-110.408,-10.361,-1225.84,-2.76021,5.90021,0.379793
3.328,100,191.4,-91.4,-11.8234,1188.02,-2.285,5.425,0.854999
3.36,100,195.376,-95.376,-13.3494,-248.5,-2.3844,5.5244,0.7556
3.392,100,188.939,-88.9391,-14.7724,402.307,-2.22348,5.36348,0.916522
3.424,100,185.829,-85.8289,-16.1457,194.388,-2.14572,5.28572,0.994278
3.456,100,186.572,-86.5721,-17.5308,-46.4477,-2.1643,5.3043,0.975698
3.488,100,189.384,-89.3835,-18.961,-175.716,-2.23459,5.37459,0.905412
3.52,100,182.278,-82.2785,-20.2774,444.065,-2.05696,5.19696,1.08304
3.552,100,176.872,-76.8725,-21.5074,337.874,-1.92181,5.06181,1.21819
3.584,100,166.799,-66.7991,-22.5762,629.59,-1.66998,4.80998,1.47002
3.616,100,168.549,-68.5488,-23.673,-109.356,-1.71372,4.85372,1.42628
3.648,100,153.229,-53.2289,-24.5246,957.49,-1.33072,4.47072,1.80928
3.68,100,149.216,-49.2164,-25.3121,250.782,-1.23041,4.37041,1.90959
